artist_name,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,Hit
Alan Menken,"Fireworks-From""TheLittleMermaid""/Score",0.588,0.315,38040,0.0611,0.519,0.182,-23.029,0.0444,117.773,0.118,0
Ilegales,ElTrueno-Live,0.128,0.68,260827,0.867,0.000379,0.732,-6.417,0.0686,130.417,0.738,0
Electric Guest,Zero,0.696,0.786,228213,0.327,4.54E-06,0.107,-8.101,0.0335,122.006,0.428,0
Hoobastank,TheReason,0.0127,0.447,232800,0.668,0,0.152,-4.683,0.0294,82.904,0.0695,0
Jake Owen,RealLife,0.00195,0.654,169827,0.749,0,0.0956,-5.383,0.0257,108.004,0.774,0
Panic! At The Disco,C'mon,0.0351,0.38,214431,0.489,0.00243,0.081,-7.027,0.0362,127.097,0.337,0
Big Wild,EmptyRoom,0.0141,0.63,207818,0.748,0.00692,0.132,-6.314,0.0525,110.002,0.481,0
Birgit Nilsson,"FiveSongs,Op.37:4Vardetendröm?(WasitaDream?)",0.981,0.206,146169,0.134,0.000106,0.109,-17.822,0.0443,81.667,0.0398,0
Pendulum,HoldYourColour-NoisiaRemix,0.0485,0.264,322937,0.846,0.00115,0.147,-2.671,0.19,173.248,0.0665,0
Switchfoot,OnlyHope,0.328,0.519,253107,0.326,0.194,0.118,-11.803,0.0252,82.479,0.244,0
Hollywood Undead,City,0.0263,0.55,214040,0.775,0,0.08,-6.18,0.051,77.526,0.664,0
Kimbo Children's Music,MosquitosEverywhere(4/4),0.882,0.72,67333,0.445,0.00341,0.0806,-14.038,0.345,116.654,0.321,0
Slightly Stoopid,JimiBaby-Live,0.00549,0.369,369276,0.595,0.478,0.48,-10.736,0.0468,171.986,0.35,0
Georges Bizet,Bizet:Carmen:No.1Prélude,0.876,0.263,213693,0.27,0.865,0.0562,-16.85,0.0348,129.095,0.228,0
Jacques Offenbach,"Lescontesd'Hoffmann,Epilogue:Descendresdetoncoeur,réchauffetongénie(Live)",0.954,0.118,214587,0.124,0.0238,0.667,-29.792,0.0788,80.778,0.0387,0
Giuseppe Verdi,"Falstaff,ActIPt.2:Psst,psst,Nannetta.Vienqua(Live)",0.972,0.192,101560,0.117,6.58E-05,0.146,-26.082,0.0584,87.611,0.178,0
The Story So Far,Closure,0.000578,0.329,199907,0.995,7.73E-05,0.089,-3,0.124,187.035,0.323,0
Backstreet Boys,JustLikeYouLikeIt,0.0416,0.642,222040,0.475,0,0.0794,-5.461,0.0256,78.993,0.56,0
Antônio Carlos Jobim,LookToTheSky,0.92,0.488,140267,0.126,0.967,0.0909,-22.465,0.0337,132.365,0.624,0
Colter Wall,Saskatchewanin1881,0.676,0.583,171649,0.366,4.95E-05,0.128,-11.802,0.0576,152.338,0.538,0
PnB Rock,iRun(feat.LilYachty),0.174,0.732,246462,0.497,0,0.127,-5.946,0.0806,130.102,0.116,0
TENDER,SlowLove,0.774,0.68,252107,0.856,0.00224,0.332,-6.782,0.359,74.969,0.745,0
Atmosphere,TheLoserWins,0.0493,0.695,216187,0.578,0.000136,0.257,-5.567,0.133,94.961,0.476,0
Shinedown,CallMe,0.438,0.413,222200,0.445,0,0.111,-7.259,0.025,95.562,0.117,0
Future,BloodOntheMoney,0.185,0.704,282253,0.431,0.0972,0.249,-7.893,0.131,146.003,0.346,0
Hans Zimmer,InceptionMedley-Live,0.000738,0.287,822000,0.494,0.882,0.77,-11.503,0.0446,122.334,0.0386,0
Black Flag,LouieLouie,0.0198,0.29,78733,0.597,0,0.122,-8.837,0.0467,129.07,0.569,0
Fall Out Boy,HOLDMETIGHTORDON’T,0.00699,0.582,210360,0.925,3.23E-06,0.105,-4.365,0.051,96.01,0.793,0
Tommy Johnagin,ScabOfTheWeddingParty,0.926,0.575,48144,0.88,0,0.8,-9.823,0.938,83.239,0.555,0
Andy Mineo,Desperados,0.1,0.696,215727,0.767,0,0.25,-4.573,0.203,137.982,0.275,0
Future,PIE,0.144,0.755,211240,0.6,0,0.117,-6.431,0.309,155.982,0.652,0
Dorothy Ashby,Flighty,0.82,0.567,211760,0.439,0.512,0.107,-12.219,0.0313,149.794,0.583,0
Drake,I'mUpset,0.279,0.899,214467,0.586,0,0.0836,-7.866,0.344,150.001,0.492,0
Lucius,Eventually,0.603,0.658,226347,0.394,5.65E-06,0.176,-7.537,0.025,78.926,0.232,0
The English Beat,SaveItForLater-Live1982,0.0077,0.505,229773,0.598,0.0296,0.815,-15.313,0.045,132.815,0.858,0
Kid Ink,FWithU(feat.TyDolla$ign),0.4,0.578,179533,0.528,0,0.149,-7.169,0.274,98.555,0.622,0
Hans Zimmer,"Calypso-From""PiratesoftheCaribbean:AtWorld'sEnd""/Score",0.752,0.128,182840,0.202,0.928,0.166,-17.386,0.0428,86.208,0.0362,0
Baby Ranks,NocheDeCarnaval,0.0803,0.684,235253,0.819,0,0.456,-5.942,0.0353,118.009,0.482,0
The Wonder Years,Cardinals,0.00509,0.247,194859,0.945,7.44E-05,0.584,-2.961,0.0871,176.175,0.26,0
DJ Premier,IDon'tKnow,0.00588,0.805,245671,0.419,0.76,0.161,-9.541,0.0889,83.932,0.439,0
Eagles Of Death Metal,WannabeInL.A,0.328,0.657,135853,0.95,0.0876,0.109,-3.983,0.0569,79.332,0.965,0
Young Thug,"GangUp(withYoungThug,2Chainz&WizKhalifafeat.PnBRock)",0.0304,0.631,231659,0.732,0,0.261,-4.706,0.203,151.779,0.549,0
Linkin Park,WhatI'veDone,0.0141,0.623,205613,0.93,1.64E-06,0.138,-5.285,0.0324,120.119,0.287,1
Howard Shore,TheThief,0.723,0.253,260853,0.109,0.641,0.0721,-21.238,0.0355,113.484,0.0894,0
Louis Katz,HippieRoommate,0.836,0.449,255867,0.839,0,0.752,-5.404,0.899,66.717,0.509,0
Dua Lipa,IDGAF,0.0403,0.836,217947,0.544,0,0.0824,-5.975,0.0943,97.028,0.51,0
NAV,CallMe,0.411,0.673,215067,0.395,0.00546,0.122,-8.639,0.123,170.074,0.137,0
The J.B.'s,Things&Do,0.177,0.698,317973,0.741,0.352,0.0622,-8.163,0.101,119.808,0.86,0
Jazz Cartier,•WHICHONE,0.0193,0.873,122240,0.854,0,0.181,-6.266,0.169,133.997,0.714,0
Robin Thicke,BlurredLines,0.00373,0.862,263827,0.608,6.14E-06,0.0856,-4.762,0.0402,120.002,0.836,1
Katy Perry,DarkHorse,0.00314,0.645,215672,0.585,0,0.165,-6.122,0.0513,131.931,0.353,1
