artist_name,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,Hit
112,It's over Now,0.0106,0.66,264933,0.71,7.01E-06,0.0736,-4.541,0.0409,97.988,0.233,1
112,Peaches & Cream (feat. P. Diddy),0.00887,0.706,225947,0.537,0,0.129,-6.347,0.348,203.746,0.775,1
112,U Already Know,0.224,0.677,198880,0.525,0,0.172,-9.404,0.0483,87.042,0.924,1
!!!,Freedom! '15,0.0369,0.771,360687,0.708,0.0105,0.1,-5.566,0.0694,122.982,0.701,0
"""Weird Al"" Yankovic","Gump (Parody of ""Lump"" by The Presidents of the United States)",0.0127,0.544,130427,0.792,1.83E-06,0.305,-6.981,0.0381,144.316,0.949,0
$uicideBoy$,Gloss Of Blood,0.262,0.685,104211,0.416,0.0348,0.395,-8.008,0.0812,119.967,0.107,0
(Sandy) Alex G,Bobby,0.0293,0.246,222818,0.379,0,0.0945,-5.928,0.0323,92.171,0.384,0
*NSYNC,It's Gonna Be Me,0.0407,0.636,192427,0.873,1.27E-06,0.0372,-4.672,0.071,165.071,0.908,1
*NSYNC,This I Promise You,0.354,0.55,284760,0.587,0,0.128,-6.279,0.0329,165.975,0.466,1
*NSYNC,(God Must Have Spent) A Little More Time On You - Remix,0.44,0.468,243493,0.535,0,0.101,-8.264,0.0436,168.001,0.294,0
04 Limited Sazabys,Brain sugar,8.27E-05,0.457,197920,0.994,0.0873,0.276,-2.446,0.115,103.95,0.159,0
10 Ft. Ganja Plant,10 Ft. Ganja Plant and Weed,0.0338,0.753,216800,0.495,0.0282,0.0497,-10.416,0.0397,136.121,0.774,0
2 Chainz,NCAA,0.178,0.839,248013,0.641,0,0.135,-5.837,0.284,120.037,0.462,0
2Pac,Thugz Mansion - 7 Remix,0.302,0.71,247600,0.642,0,0.263,-6.206,0.293,87.873,0.891,1
3 Doors Down,Be Like That,0.00536,0.487,265907,0.702,4.93E-06,0.129,-6.043,0.0238,95.973,0.306,1
3 Doors Down,Here Without You,0.0537,0.536,238560,0.55,0,0.134,-6.733,0.0248,144.018,0.234,1
3 Doors Down,It's Not My Time,0.00133,0.532,241960,0.935,8.37E-06,0.106,-4.798,0.0619,128.025,0.309,1
3 Doors Down,Kryptonite,0.00664,0.545,233933,0.865,1.12E-05,0.168,-5.708,0.0286,99.01,0.543,1
3 Doors Down,Let Me Go,0.0192,0.478,243053,0.856,0,0.107,-4.881,0.0387,91.998,0.454,1
3 Doors Down,When I'm Gone,0.00457,0.496,260507,0.765,0,0.104,-5.66,0.033,74.072,0.337,1
3OH!3,DONTTRUSTME,0.0163,0.791,192573,0.713,0,0.189,-3.742,0.254,130.012,0.514,1
3OH!3,My First Kiss - feat. Ke$ha,0.00564,0.682,192440,0.889,0,0.36,-4.166,0.0804,138.021,0.827,1
5 Seconds of Summer,She Looks So Perfect,0.000668,0.493,202496,0.956,0,0.416,-4.221,0.138,160.006,0.47,1
50 Cent,21 Questions,0.388,0.547,224427,0.807,9.11E-05,0.0436,-4.083,0.36,79.823,0.919,1
